State,Size,Interchange,Selection,Bubble,Heap,Merge,Quick,Radix
Random,1000,0.005,0.001,0.003,0,0.001,0,0
Random,3000,0.033,0.009,0.03,0,0.002,0,0
Random,10000,0.425,0.1,0.392,0.003,0.009,0.002,0.001
Random,30000,3.418,1.034,3.441,0.009,0.022,0.004,0.005
Random,100000,31.44,10.886,39.263,0.04,0.089,0.013,0.018
Sorted,1000,0.002,0.001,0.002,0,0,0,0
Sorted,3000,0.009,0.01,0.012,0,0.004,0,0
Sorted,10000,0.095,0.119,0.115,0.002,0.006,0,0.001
Sorted,30000,1.005,0.966,1.094,0.008,0.019,0.001,0.006
Sorted,100000,10.316,10.273,11.158,0.031,0.066,0.005,0.019
Reversed,1000,0.004,0.002,0.005,0,0.001,0,0
Reversed,3000,0.044,0.01,0.052,0,0.001,0,0.001
Reversed,10000,0.484,0.188,0.376,0.002,0.006,0.001,0.001
Reversed,30000,4.242,1.748,3.191,0.006,0.03,0.006,0.007
Reversed,100000,38.419,19.14,35.076,0.027,0.072,0.005,0.02
